fen,move,eval_before,eval_after,delta,label
8/8/p3r1kp/2pp4/RnP1N1Kp/1P3P2/6PP/8 w - - 0 35,cxd5,364,275,-89,1
8/8/p3r1kp/2pP4/Rn2N1Kp/1P3P2/6PP/8 b - - 0 35,Nxd5,281,267,-14,1
8/8/p3r1kp/2pn4/R3N1Kp/1P3P2/6PP/8 w - - 0 36,Kxh4,277,276,-1,1
8/8/p3r1kp/2pn4/R3N2K/1P3P2/6PP/8 b - - 0 36,Rb6,270,355,85,1
8/8/pr4kp/2pn4/R3N2K/1P3P2/6PP/8 w - - 1 37,Ra5,387,252,-135,0
8/8/pr4kp/R1pn4/4N2K/1P3P2/6PP/8 b - - 2 37,Ne7,260,330,70,1
8/4n3/pr4kp/R1p5/4N2K/1P3P2/6PP/8 w - - 3 38,Rxc5,355,259,-96,1
8/4n3/pr4kp/2R5/4N2K/1P3P2/6PP/8 b - - 0 38,Nf5+,277,313,36,1
8/8/pr4kp/2R2n2/4N2K/1P3P2/6PP/8 w - - 1 39,Kg4,291,195,-96,1
8/8/pr4kp/2R2n2/4N1K1/1P3P2/6PP/8 b - - 2 39,h5+,167,312,145,1
8/8/pr4k1/2R2n1p/4N1K1/1P3P2/6PP/8 w - - 0 40,Kf4,324,223,-101,0
8/8/pr4k1/2R2n1p/4NK2/1P3P2/6PP/8 b - - 1 40,Rb4,230,576,346,1
8/8/p5k1/2R2n1p/1r2NK2/1P3P2/6PP/8 w - - 2 41,g4,557,293,-264,0
8/8/p5k1/2R2n1p/1r2NKP1/1P3P2/7P/8 b - - 0 41,hxg4,292,405,113,1
8/8/p5k1/2R2n2/1r2NKp1/1P3P2/7P/8 w - - 0 42,fxg4,402,262,-140,0
8/8/p5k1/2R2n2/1r2NKP1/1P6/7P/8 b - - 0 42,Nd4,257,328,71,1
8/8/p5k1/2R5/1r1nNKP1/1P6/7P/8 w - - 1 43,Ke5,298,37,-261,0
8/8/p5k1/2R1K3/1r1nN1P1/1P6/7P/8 b - - 2 43,Kf7,26,290,264,1
8/5k2/p7/2R1K3/1r1nN1P1/1P6/7P/8 w - - 3 44,Kd5,240,41,-199,0
8/5k2/p7/2RK4/1r1nN1P1/1P6/7P/8 b - - 4 44,Nf3,40,75,35,1
8/5k2/p7/2RK4/1r2N1P1/1P3n2/7P/8 w - - 5 45,Rc7+,61,66,5,1
8/2R2k2/p7/3K4/1r2N1P1/1P3n2/7P/8 b - - 6 45,Ke8,49,337,288,1
4k3/2R5/p7/3K4/1r2N1P1/1P3n2/7P/8 w - - 7 46,Kd6,322,-32,-354,0
4k3/2R5/p2K4/8/1r2N1P1/1P3n2/7P/8 b - - 8 46,Rd4+,-34,-29,5,1
4k3/2R5/p2K4/8/3rN1P1/1P3n2/7P/8 w - - 9 47,Kc5,-27,-19,8,1
4k3/2R5/p7/2K5/3rN1P1/1P3n2/7P/8 b - - 10 47,Rxe4,-19,-14,5,1
4k3/2R5/p7/2K5/4r1P1/1P3n2/7P/8 w - - 0 48,Rc8+,-16,-22,-6,1
2R1k3/8/p7/2K5/4r1P1/1P3n2/7P/8 b - - 1 48,Kd7,-19,-16,3,1
2R5/3k4/p7/2K5/4r1P1/1P3n2/7P/8 w - - 2 49,Rc6,-25,-509,-484,0
8/3k4/p1R5/2K5/4r1P1/1P3n2/7P/8 b - - 3 49,Kd8,-491,-6,485,1
3k4/8/p1R5/2K5/4r1P1/1P3n2/7P/8 w - - 4 50,Kb6,-16,-33,-17,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,37,19,-18,1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d6,19,55,36,1
rnbqkbnr/ppp1pppp/3p4/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Bf4,66,22,-44,1
rnbqkbnr/ppp1pppp/3p4/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,d5,12,54,42,1
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,Nc3,53,34,-19,1
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nc6,32,78,46,1
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR w KQkq - 2 4,Nb5,98,80,-18,1
r1bqkbnr/ppp1pppp/2n5/1N1p4/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq - 3 4,e6,67,460,393,1
r1bqkbnr/ppp2ppp/2n1p3/1N1p4/3P1B2/8/PPP1PPPP/R2QKBNR w KQkq - 0 5,Nxc7+,437,369,-68,1
r1bqkbnr/ppN2ppp/2n1p3/3p4/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq - 0 5,Ke7,410,469,59,1
r1bq1bnr/ppN1kppp/2n1p3/3p4/3P1B2/8/PPP1PPPP/R2QKBNR w KQ - 1 6,Nxa8,489,491,2,1
N1bq1bnr/pp2kppp/2n1p3/3p4/3P1B2/8/PPP1PPPP/R2QKBNR b KQ - 0 6,e5,429,478,49,1
N1bq1bnr/pp2kppp/2n5/3pp3/3P1B2/8/PPP1PPPP/R2QKBNR w KQ - 0 7,dxe5,428,487,59,1
N1bq1bnr/pp2kppp/2n5/3pP3/5B2/8/PPP1PPPP/R2QKBNR b KQ - 0 7,Be6,488,511,23,1
N2q1bnr/pp2kppp/2n1b3/3pP3/5B2/8/PPP1PPPP/R2QKBNR w KQ - 1 8,Nf3,514,487,-27,1
N2q1bnr/pp2kppp/2n1b3/3pP3/5B2/5N2/PPP1PPPP/R2QKB1R b KQ - 2 8,Qxa8,495,540,45,1
q4bnr/pp2kppp/2n1b3/3pP3/5B2/5N2/PPP1PPPP/R2QKB1R w KQ - 0 9,a3,532,488,-44,1
q4bnr/pp2kppp/2n1b3/3pP3/5B2/P4N2/1PP1PPPP/R2QKB1R b KQ - 0 9,f6,495,550,55,1
q4bnr/pp2k1pp/2n1bp2/3pP3/5B2/P4N2/1PP1PPPP/R2QKB1R w KQ - 0 10,exf6+,526,501,-25,1
q4bnr/pp2k1pp/2n1bP2/3p4/5B2/P4N2/1PP1PPPP/R2QKB1R b KQ - 0 10,Nxf6,526,534,8,1
q4b1r/pp2k1pp/2n1bn2/3p4/5B2/P4N2/1PP1PPPP/R2QKB1R w KQ - 0 11,e3,526,541,15,1
q4b1r/pp2k1pp/2n1bn2/3p4/5B2/P3PN2/1PP2PPP/R2QKB1R b KQ - 0 11,Kf7,529,588,59,1
q4b1r/pp3kpp/2n1bn2/3p4/5B2/P3PN2/1PP2PPP/R2QKB1R w KQ - 1 12,Ng5+,644,617,-27,1
q4b1r/pp3kpp/2n1bn2/3p2N1/5B2/P3P3/1PP2PPP/R2QKB1R b KQ - 2 12,Ke7,567,580,13,1
q4b1r/pp2k1pp/2n1bn2/3p2N1/5B2/P3P3/1PP2PPP/R2QKB1R w KQ - 3 13,Bb5,593,510,-83,1
q4b1r/pp2k1pp/2n1bn2/1B1p2N1/5B2/P3P3/1PP2PPP/R2QK2R b KQ - 4 13,h6,522,556,34,1
q4b1r/pp2k1p1/2n1bn1p/1B1p2N1/5B2/P3P3/1PP2PPP/R2QK2R w KQ - 0 14,Nf3,580,465,-115,0
q4b1r/pp2k1p1/2n1bn1p/1B1p4/5B2/P3PN2/1PP2PPP/R2QK2R b KQ - 1 14,Bg4,480,568,88,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,32,26,-6,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5,29,17,-12,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Bc4,34,-15,-49,1
rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,d6,-12,-7,5,1
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,Nf3,3,10,7,1
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,Nc6,26,24,-2,1
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,c3,25,3,-22,1
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,g6,15,61,46,1
r1bqkbnr/pp2pp1p/2np2p1/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 5,d4,76,64,-12,1
r1bqkbnr/pp2pp1p/2np2p1/2p5/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,cxd4,58,66,8,1
r1bqkbnr/pp2pp1p/2np2p1/8/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6,cxd4,78,62,-16,1
r1bqkbnr/pp2pp1p/2np2p1/8/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq - 0 6,Bg4,69,154,85,1
r2qkbnr/pp2pp1p/2np2p1/8/2BPP1b1/5N2/PP3PPP/RNBQK2R w KQkq - 1 7,Bxf7+,158,114,-44,1
r2qkbnr/pp2pB1p/2np2p1/8/3PP1b1/5N2/PP3PPP/RNBQK2R b KQkq - 0 7,Kxf7,105,110,5,1
r2q1bnr/pp2pk1p/2np2p1/8/3PP1b1/5N2/PP3PPP/RNBQK2R w KQ - 0 8,Ng5+,116,105,-11,1
r2q1bnr/pp2pk1p/2np2p1/6N1/3PP1b1/8/PP3PPP/RNBQK2R b KQ - 1 8,Ke8,154,182,28,1
r2qkbnr/pp2p2p/2np2p1/6N1/3PP1b1/8/PP3PPP/RNBQK2R w KQ - 2 9,Qxg4,192,192,0,1
r2qkbnr/pp2p2p/2np2p1/6N1/3PP1Q1/8/PP3PPP/RNB1K2R b KQ - 0 9,Nxd4,177,175,-2,1
r2qkbnr/pp2p2p/3p2p1/6N1/3nP1Q1/8/PP3PPP/RNB1K2R w KQ - 0 10,Qd1,170,177,7,1
r2qkbnr/pp2p2p/3p2p1/6N1/3nP3/8/PP3PPP/RNBQK2R b KQ - 1 10,e5,165,178,13,1
r2qkbnr/pp5p/3p2p1/4p1N1/3nP3/8/PP3PPP/RNBQK2R w KQ - 0 11,Nc3,180,142,-38,1
r2qkbnr/pp5p/3p2p1/4p1N1/3nP3/2N5/PP3PPP/R1BQK2R b KQ - 1 11,Be7,191,197,6,1
r2qk1nr/pp2b2p/3p2p1/4p1N1/3nP3/2N5/PP3PPP/R1BQK2R w KQ - 2 12,Nf3,183,167,-16,1
r2qk1nr/pp2b2p/3p2p1/4p3/3nP3/2N2N2/PP3PPP/R1BQK2R b KQ - 3 12,Nxf3+,170,173,3,1
r2qk1nr/pp2b2p/3p2p1/4p3/4P3/2N2n2/PP3PPP/R1BQK2R w KQ - 0 13,Qxf3,173,167,-6,1
r2qk1nr/pp2b2p/3p2p1/4p3/4P3/2N2Q2/PP3PPP/R1B1K2R b KQ - 0 13,Nf6,179,167,-12,1
r2qk2r/pp2b2p/3p1np1/4p3/4P3/2N2Q2/PP3PPP/R1B1K2R w KQ - 1 14,O-O,161,183,22,1
r2qk2r/pp2b2p/3p1np1/4p3/4P3/2N2Q2/PP3PPP/R1B2RK1 b - - 2 14,Rf8,186,197,11,1
r2qkr2/pp2b2p/3p1np1/4p3/4P3/2N2Q2/PP3PPP/R1B2RK1 w - - 3 15,Bh6,185,166,-19,1
r2qkr2/pp2b2p/3p1npB/4p3/4P3/2N2Q2/PP3PPP/R4RK1 b - - 4 15,Rf7,171,171,0,1
r2qk3/pp2br1p/3p1npB/4p3/4P3/2N2Q2/PP3PPP/R4RK1 w - - 5 16,Bg5,156,39,-117,0
r2qk3/pp2br1p/3p1np1/4p1B1/4P3/2N2Q2/PP3PPP/R4RK1 b - - 6 16,Nxe4,72,189,117,1
r2qk3/pp2br1p/3p2p1/4p1B1/4n3/2N2Q2/PP3PPP/R4RK1 w - - 0 17,Bxe7,185,176,-9,1
r2qk3/pp2Br1p/3p2p1/4p3/4n3/2N2Q2/PP3PPP/R4RK1 b - - 0 17,Nxc3,129,337,208,1
r2qk3/pp2Br1p/3p2p1/4p3/8/2n2Q2/PP3PPP/R4RK1 w - - 0 18,Bxd8,320,300,-20,1
r2Bk3/pp3r1p/3p2p1/4p3/8/2n2Q2/PP3PPP/R4RK1 b - - 0 18,Rxf3,305,293,-12,1
r2Bk3/pp5p/3p2p1/4p3/8/2n2r2/PP3PPP/R4RK1 w - - 0 19,bxc3,292,280,-12,1
r2Bk3/pp5p/3p2p1/4p3/8/2P2r2/P4PPP/R4RK1 b - - 0 19,Rxc3,284,281,-3,1
r2Bk3/pp5p/3p2p1/4p3/8/2r5/P4PPP/R4RK1 w - - 0 20,Bg5,281,286,5,1
r3k3/pp5p/3p2p1/4p1B1/8/2r5/P4PPP/R4RK1 b - - 1 20,Rac8,269,330,61,1
2r1k3/pp5p/3p2p1/4p1B1/8/2r5/P4PPP/R4RK1 w - - 2 21,Rfc1,296,235,-61,1
2r1k3/pp5p/3p2p1/4p1B1/8/2r5/P4PPP/R1R3K1 b - - 3 21,Rc2,262,306,44,1
2r1k3/pp5p/3p2p1/4p1B1/8/8/P1r2PPP/R1R3K1 w - - 4 22,Rxc2,283,203,-80,1
2r1k3/pp5p/3p2p1/4p1B1/8/8/P1R2PPP/R5K1 b - - 0 22,Rxc2,198,191,-7,1
4k3/pp5p/3p2p1/4p1B1/8/8/P1r2PPP/R5K1 w - - 0 23,Be3,201,186,-15,1
4k3/pp5p/3p2p1/4p3/8/4B3/P1r2PPP/R5K1 b - - 1 23,b6,169,174,5,1
4k3/p6p/1p1p2p1/4p3/8/4B3/P1r2PPP/R5K1 w - - 0 24,a4,196,171,-25,1
4k3/p6p/1p1p2p1/4p3/P7/4B3/2r2PPP/R5K1 b - - 0 24,d5,178,179,1,1
4k3/p6p/1p4p1/3pp3/P7/4B3/2r2PPP/R5K1 w - - 0 25,Kf1,169,166,-3,1
4k3/p6p/1p4p1/3pp3/P7/4B3/2r2PPP/R4K2 b - - 1 25,Kd7,166,170,4,1
8/p2k3p/1p4p1/3pp3/P7/4B3/2r2PPP/R4K2 w - - 2 26,Ke1,170,174,4,1
8/p2k3p/1p4p1/3pp3/P7/4B3/2r2PPP/R3K3 b - - 3 26,d4,164,157,-7,1
8/p2k3p/1p4p1/4p3/P2p4/4B3/2r2PPP/R3K3 w - - 0 27,Bd2,168,152,-16,1
8/p2k3p/1p4p1/4p3/P2p4/8/2rB1PPP/R3K3 b - - 1 27,e4,150,166,16,1
8/p2k3p/1p4p1/8/P2pp3/8/2rB1PPP/R3K3 w - - 0 28,a5,168,115,-53,1
8/p2k3p/1p4p1/P7/3pp3/8/2rB1PPP/R3K3 b - - 0 28,b5,119,88,-31,1
8/p2k3p/6p1/Pp6/3pp3/8/2rB1PPP/R3K3 w - - 0 29,Kd1,126,105,-21,1
8/p2k3p/6p1/Pp6/3pp3/8/2rB1PPP/R2K4 b - - 1 29,Rc4,122,151,29,1
8/p2k3p/6p1/Pp6/2rpp3/8/3B1PPP/R2K4 w - - 2 30,g3,144,64,-80,1
8/p2k3p/6p1/Pp6/2rpp3/6P1/3B1P1P/R2K4 b - - 0 30,a6,47,49,2,1
8/3k3p/p5p1/Pp6/2rpp3/6P1/3B1P1P/R2K4 w - - 0 31,h4,49,15,-34,1
8/3k3p/p5p1/Pp6/2rpp2P/6P1/3B1P2/R2K4 b - - 0 31,Ke6,7,23,16,1
8/7p/p3k1p1/Pp6/2rpp2P/6P1/3B1P2/R2K4 w - - 1 32,Rc1,29,19,-10,1
8/7p/p3k1p1/Pp6/2rpp2P/6P1/3B1P2/2RK4 b - - 2 32,Kf5,37,50,13,1
8/7p/p5p1/Pp3k2/2rpp2P/6P1/3B1P2/2RK4 w - - 3 33,Rxc4,70,123,53,1
8/7p/p5p1/Pp3k2/2Rpp2P/6P1/3B1P2/3K4 b - - 0 33,bxc4,127,145,18,1
8/7p/p5p1/P4k2/2ppp2P/6P1/3B1P2/3K4 w - - 0 34,Ke2,141,-52,-193,0
8/7p/p5p1/P4k2/2ppp2P/6P1/3BKP2/8 b - - 1 34,Kg4,-19,0,19,1
8/7p/p5p1/P7/2ppp1kP/6P1/3BKP2/8 w - - 2 35,Bb4,0,0,0,1
8/7p/p5p1/P7/1Bppp1kP/6P1/4KP2/8 b - - 3 35,c3,0,0,0,1
8/7p/p5p1/P7/1B1pp1kP/2p3P1/4KP2/8 w - - 0 36,Bc5,0,0,0,1
8/7p/p5p1/P1B5/3pp1kP/2p3P1/4KP2/8 b - - 1 36,d3+,0,0,0,1
8/7p/p5p1/P1B5/4p1kP/2pp2P1/4KP2/8 w - - 0 37,Ke3,0,0,0,1
8/7p/p5p1/P1B5/4p1kP/2ppK1P1/5P2/8 b - - 1 37,g5,0,139,139,1
8/7p/p7/P1B3p1/4p1kP/2ppK1P1/5P2/8 w - - 0 38,hxg5,245,0,-245,0
8/7p/p7/P1B3P1/4p1k1/2ppK1P1/5P2/8 b - - 0 38,Kxg5,0,325,325,1
8/7p/p7/P1B3k1/4p3/2ppK1P1/5P2/8 w - - 0 39,Bb4,362,377,15,1
8/7p/p7/P5k1/1B2p3/2ppK1P1/5P2/8 b - - 1 39,c2,410,430,20,1
8/7p/p7/P5k1/1B2p3/3pK1P1/2p2P2/8 w - - 0 40,Bd2,459,433,-26,1
8/7p/p7/P5k1/4p3/3pK1P1/2pB1P2/8 b - - 1 40,Kf5,493,501,8,1
8/7p/p7/P4k2/4p3/3pK1P1/2pB1P2/8 w - - 2 41,Kd4,497,497,0,1
8/7p/p7/P4k2/3Kp3/3p2P1/2pB1P2/8 b - - 3 41,h6,472,525,53,1
8/8/p6p/P4k2/3Kp3/3p2P1/2pB1P2/8 w - - 0 42,Bxh6,536,565,29,1
8/8/p6B/P4k2/3Kp3/3p2P1/2p2P2/8 b - - 0 42,Kg6,574,577,3,1
8/8/p5kB/P7/3Kp3/3p2P1/2p2P2/8 w - - 1 43,Be3,569,583,14,1
8/8/p5k1/P7/3Kp3/3pB1P1/2p2P2/8 b - - 2 43,Kf5,580,583,3,1
8/8/p7/P4k2/3Kp3/3pB1P1/2p2P2/8 w - - 3 44,Bf4,578,580,2,1
8/8/p7/P4k2/3KpB2/3p2P1/2p2P2/8 b - - 4 44,e3,608,600,-8,1
8/8/p7/P4k2/3K1B2/3pp1P1/2p2P2/8 w - - 0 45,Bxe3,613,626,13,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,25,25,0,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5,26,29,3,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,40,29,-11,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d6,23,37,14,1
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Bc4,34,8,-26,1
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,a6,9,46,37,1
rnbqkbnr/1p2pppp/p2p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,a3,29,-19,-48,1
rnbqkbnr/1p2pppp/p2p4/2p5/2B1P3/P4N2/1PPP1PPP/RNBQK2R b KQkq - 0 4,Nc6,-16,16,32,1
r1bqkbnr/1p2pppp/p1np4/2p5/2B1P3/P4N2/1PPP1PPP/RNBQK2R w KQkq - 1 5,d3,19,-8,-27,1
r1bqkbnr/1p2pppp/p1np4/2p5/2B1P3/P2P1N2/1PP2PPP/RNBQK2R b KQkq - 0 5,Bg4,-17,244,261,1
r2qkbnr/1p2pppp/p1np4/2p5/2B1P1b1/P2P1N2/1PP2PPP/RNBQK2R w KQkq - 1 6,h3,153,8,-145,0
r2qkbnr/1p2pppp/p1np4/2p5/2B1P1b1/P2P1N1P/1PP2PP1/RNBQK2R b KQkq - 0 6,Bxf3,4,10,6,1
r2qkbnr/1p2pppp/p1np4/2p5/2B1P3/P2P1b1P/1PP2PP1/RNBQK2R w KQkq - 0 7,Qxf3,10,22,12,1
r2qkbnr/1p2pppp/p1np4/2p5/2B1P3/P2P1Q1P/1PP2PP1/RNB1K2R b KQkq - 0 7,Nf6,10,9,-1,1
r2qkb1r/1p2pppp/p1np1n2/2p5/2B1P3/P2P1Q1P/1PP2PP1/RNB1K2R w KQkq - 1 8,Nc3,11,-12,-23,1
r2qkb1r/1p2pppp/p1np1n2/2p5/2B1P3/P1NP1Q1P/1PP2PP1/R1B1K2R b KQkq - 2 8,Nd4,-19,14,33,1
r2qkb1r/1p2pppp/p2p1n2/2p5/2BnP3/P1NP1Q1P/1PP2PP1/R1B1K2R w KQkq - 3 9,Qd1,22,24,2,1
r2qkb1r/1p2pppp/p2p1n2/2p5/2BnP3/P1NP3P/1PP2PP1/R1BQK2R b KQkq - 4 9,e6,22,27,5,1
r2qkb1r/1p3ppp/p2ppn2/2p5/2BnP3/P1NP3P/1PP2PP1/R1BQK2R w KQkq - 0 10,O-O,26,31,5,1
r2qkb1r/1p3ppp/p2ppn2/2p5/2BnP3/P1NP3P/1PP2PP1/R1BQ1RK1 b kq - 1 10,b5,45,35,-10,1
r2qkb1r/5ppp/p2ppn2/1pp5/2BnP3/P1NP3P/1PP2PP1/R1BQ1RK1 w kq - 0 11,Ba2,45,25,-20,1
r2qkb1r/5ppp/p2ppn2/1pp5/3nP3/P1NP3P/BPP2PP1/R1BQ1RK1 b kq - 1 11,Be7,29,34,5,1
r2qk2r/4bppp/p2ppn2/1pp5/3nP3/P1NP3P/BPP2PP1/R1BQ1RK1 w kq - 2 12,Bf4,35,23,-12,1
r2qk2r/4bppp/p2ppn2/1pp5/3nPB2/P1NP3P/BPP2PP1/R2Q1RK1 b kq - 3 12,O-O,24,25,1,1
r2q1rk1/4bppp/p2ppn2/1pp5/3nPB2/P1NP3P/BPP2PP1/R2Q1RK1 w - - 4 13,Ne2,32,14,-18,1
r2q1rk1/4bppp/p2ppn2/1pp5/3nPB2/P2P3P/BPP1NPP1/R2Q1RK1 b - - 5 13,e5,30,79,49,1
r2q1rk1/4bppp/p2p1n2/1pp1p3/3nPB2/P2P3P/BPP1NPP1/R2Q1RK1 w - - 0 14,Be3,84,35,-49,1
r2q1rk1/4bppp/p2p1n2/1pp1p3/3nP3/P2PB2P/BPP1NPP1/R2Q1RK1 b - - 1 14,Nc6,47,124,77,1
r2q1rk1/4bppp/p1np1n2/1pp1p3/4P3/P2PB2P/BPP1NPP1/R2Q1RK1 w - - 2 15,Ng3,111,105,-6,1
r2q1rk1/4bppp/p1np1n2/1pp1p3/4P3/P2PB1NP/BPP2PP1/R2Q1RK1 b - - 3 15,d5,108,163,55,1
r2q1rk1/4bppp/p1n2n2/1pppp3/4P3/P2PB1NP/BPP2PP1/R2Q1RK1 w - - 0 16,c3,180,40,-140,0
r2q1rk1/4bppp/p1n2n2/1pppp3/4P3/P1PPB1NP/BP3PP1/R2Q1RK1 b - - 0 16,d4,48,79,31,1
r2q1rk1/4bppp/p1n2n2/1pp1p3/3pP3/P1PPB1NP/BP3PP1/R2Q1RK1 w - - 0 17,cxd4,60,54,-6,1
r2q1rk1/4bppp/p1n2n2/1pp1p3/3PP3/P2PB1NP/BP3PP1/R2Q1RK1 b - - 0 17,cxd4,64,227,163,1
r2q1rk1/4bppp/p1n2n2/1p2p3/3pP3/P2PB1NP/BP3PP1/R2Q1RK1 w - - 0 18,Bg5,230,120,-110,0
r2q1rk1/4bppp/p1n2n2/1p2p1B1/3pP3/P2P2NP/BP3PP1/R2Q1RK1 b - - 1 18,h6,113,194,81,1
r2q1rk1/4bpp1/p1n2n1p/1p2p1B1/3pP3/P2P2NP/BP3PP1/R2Q1RK1 w - - 0 19,Bh4,220,45,-175,0
r2q1rk1/4bpp1/p1n2n1p/1p2p3/3pP2B/P2P2NP/BP3PP1/R2Q1RK1 b - - 1 19,g5,36,221,185,1
r2q1rk1/4bp2/p1n2n1p/1p2p1p1/3pP2B/P2P2NP/BP3PP1/R2Q1RK1 w - - 0 20,Bxg5,272,5,-267,0
r2q1rk1/4bp2/p1n2n1p/1p2p1B1/3pP3/P2P2NP/BP3PP1/R2Q1RK1 b - - 0 20,hxg5,50,48,-2,1
r2q1rk1/4bp2/p1n2n2/1p2p1p1/3pP3/P2P2NP/BP3PP1/R2Q1RK1 w - - 0 21,Nf5,55,-36,-91,1
r2q1rk1/4bp2/p1n2n2/1p2pNp1/3pP3/P2P3P/BP3PP1/R2Q1RK1 b - - 1 21,Rc8,-22,-11,11,1
2rq1rk1/4bp2/p1n2n2/1p2pNp1/3pP3/P2P3P/BP3PP1/R2Q1RK1 w - - 2 22,Bd5,-11,-171,-160,0
2rq1rk1/4bp2/p1n2n2/1p1BpNp1/3pP3/P2P3P/1P3PP1/R2Q1RK1 b - - 3 22,Bd6,-176,-122,54,1
2rq1rk1/5p2/p1nb1n2/1p1BpNp1/3pP3/P2P3P/1P3PP1/R2Q1RK1 w - - 4 23,h4,-129,-204,-75,1
2rq1rk1/5p2/p1nb1n2/1p1BpNp1/3pP2P/P2P4/1P3PP1/R2Q1RK1 b - - 0 23,Ne7,-226,-192,34,1
2rq1rk1/4np2/p2b1n2/1p1BpNp1/3pP2P/P2P4/1P3PP1/R2Q1RK1 w - - 1 24,hxg5,-190,-267,-77,1
2rq1rk1/4np2/p2b1n2/1p1BpNP1/3pP3/P2P4/1P3PP1/R2Q1RK1 b - - 0 24,Nfxd5,-238,-260,-22,1
2rq1rk1/4np2/p2b4/1p1npNP1/3pP3/P2P4/1P3PP1/R2Q1RK1 w - - 0 25,Qh5,-256,-321,-65,1
2rq1rk1/4np2/p2b4/1p1npNPQ/3pP3/P2P4/1P3PP1/R4RK1 b - - 1 25,Nxf5,-342,-335,7,1
2rq1rk1/5p2/p2b4/1p1npnPQ/3pP3/P2P4/1P3PP1/R4RK1 w - - 0 26,exf5,-369,-354,15,1
2rq1rk1/5p2/p2b4/1p1npPPQ/3p4/P2P4/1P3PP1/R4RK1 b - - 0 26,Nf4,-354,-366,-12,1
2rq1rk1/5p2/p2b4/1p2pPPQ/3p1n2/P2P4/1P3PP1/R4RK1 w - - 1 27,Qh4,-335,-289,46,1
2rq1rk1/5p2/p2b4/1p2pPP1/3p1n1Q/P2P4/1P3PP1/R4RK1 b - - 2 27,Be7,-363,-360,3,1
2rq1rk1/4bp2/p7/1p2pPP1/3p1n1Q/P2P4/1P3PP1/R4RK1 w - - 3 28,f6,-375,-418,-43,1
2rq1rk1/4bp2/p4P2/1p2p1P1/3p1n1Q/P2P4/1P3PP1/R4RK1 b - - 0 28,Ng6,-401,-407,-6,1
2rq1rk1/4bp2/p4Pn1/1p2p1P1/3p3Q/P2P4/1P3PP1/R4RK1 w - - 1 29,Qh6,-457,-447,10,1
2rq1rk1/4bp2/p4PnQ/1p2p1P1/3p4/P2P4/1P3PP1/R4RK1 b - - 2 29,Bxf6,-469,-454,15,1
2rq1rk1/5p2/p4bnQ/1p2p1P1/3p4/P2P4/1P3PP1/R4RK1 w - - 0 30,gxf6,-457,-448,9,1
2rq1rk1/5p2/p4PnQ/1p2p3/3p4/P2P4/1P3PP1/R4RK1 b - - 0 30,Qxf6,-454,-486,-32,1
